query,product_id,product_title,product_brand,product_color,product,esci
magnetic eyelash kit without eyeliner,B09F2RBMR8,"product_title 2Pair Magnetic Eyelashes without Eyeliner, Reusable Magnetic Eyelash Kit Dual Magnetic Eyelashes Dual Magnetic Lashes, Magnetic Eyelashes Natural Look (Natural and Bushy)",product_brand Onewly,product_color Pink,"product_title 2Pair Magnetic Eyelashes without Eyeliner, Reusable Magnetic Eyelash Kit Dual Magnetic Eyelashes Dual Magnetic Lashes, Magnetic Eyelashes Natural Look (Natural and Bushy)product_brand Onewlyproduct_color Pink",E
unicorn decorations for birthday party,B07XQFKCWH,"product_title Unicorn Party Decorations Serves 24–Unicorn Party Supplies Birthday Kit for Girls with Banner,Cake Topper, Headband,Sash,Dinning & Dessert Plates, Tablecloth, Cups, Forks, Spoons Set along 15 Balloons",product_brand RFAQK,product_color Pink,"product_title Unicorn Party Decorations Serves 24–Unicorn Party Supplies Birthday Kit for Girls with Banner,Cake Topper, Headband,Sash,Dinning & Dessert Plates, Tablecloth, Cups, Forks, Spoons Set along 15 Balloonsproduct_brand RFAQKproduct_color Pink",E
novelty hat,B07C8LB8CW,"product_title Forum Novelties Women's Flamingo Mni Hat, Pink, One size",product_brand Forum Novelties,product_color Pink,"product_title Forum Novelties Women's Flamingo Mni Hat, Pink, One sizeproduct_brand Forum Noveltiesproduct_color Pink",E
be yourself unless you can be a rhino,1672442834,product_title Always Be Yourself Unless You Can Be A Rhino Then Be A Rhino: Workout Log Book,product_brand Independently Published,product_color None,product_title Always Be Yourself Unless You Can Be A Rhino Then Be A Rhino: Workout Log Bookproduct_brand Independently Publishedproduct_color None,E
audio cable 3.5mm male to male 6ft,B0793KQK4R,"product_title Audio Cable,CableCreation [2-Pack 6FT] 3.5mm Right Angle Male to Male Auxiliary Stereo HiFi Cable with Silver-Plating Copper Core Compatible with Car, iPhones,Tablets,24K Gold Plated, Black",product_brand CableCreation,product_color Black,"product_title Audio Cable,CableCreation [2-Pack 6FT] 3.5mm Right Angle Male to Male Auxiliary Stereo HiFi Cable with Silver-Plating Copper Core Compatible with Car, iPhones,Tablets,24K Gold Plated, Blackproduct_brand CableCreationproduct_color Black",E
safari ltd toob,B000GZED7K,"product_title Safari Ltd Exotic Birds TOOB - 11 Different Hand Painted, BPA, Pthalate, and Lead-Free Toy Figurine Models - For Ages 3 And Up",product_brand Safari Ltd.,product_color None,"product_title Safari Ltd Exotic Birds TOOB - 11 Different Hand Painted, BPA, Pthalate, and Lead-Free Toy Figurine Models - For Ages 3 And Upproduct_brand Safari Ltd.product_color None",E
microfiber cleaning cloth,B08CTFSWK6,"product_title Gryeer Microfiber Cleaning Cloths, Soft and Lint Free Towels for Home, Kitchen, and Auto, 13 x 13 Inch, (24 Pack, Gray, Blue, Green, Pink)",product_brand Gryeer,"product_color Blue,green,pink","product_title Gryeer Microfiber Cleaning Cloths, Soft and Lint Free Towels for Home, Kitchen, and Auto, 13 x 13 Inch, (24 Pack, Gray, Blue, Green, Pink)product_brand Gryeerproduct_color Blue,green,pink",E
wallet picture holder insert,B01ACMK6NQ,"product_title Set of 2 - Replacement Insert For Checkbook Wallets, Card Or Picture Insert",product_brand Plastics Made in U.S.A.,product_color Clear,"product_title Set of 2 - Replacement Insert For Checkbook Wallets, Card Or Picture Insertproduct_brand Plastics Made in U.S.A.product_color Clear",E
coconut drink powder,B00Z5PTWCM,"product_title Big Train Dragonfly Blended Crème Frappe Mix, Coconut, 3.5 Pound (Packaging May Vary)",product_brand Big Train,product_color None,"product_title Big Train Dragonfly Blended Crème Frappe Mix, Coconut, 3.5 Pound (Packaging May Vary)product_brand Big Trainproduct_color None",E
galaxy note 10 wallet case,B07W637XBR,product_title AMOVO Wallet Case Designed for Samsung Galaxy Note 10 Detachable Card Slots Vegan Leather Flip Cover (Note10 (6.3'') Black),product_brand AMOVO,product_color Note10 (6.3'') Black,product_title AMOVO Wallet Case Designed for Samsung Galaxy Note 10 Detachable Card Slots Vegan Leather Flip Cover (Note10 (6.3'') Black)product_brand AMOVOproduct_color Note10 (6.3'') Black,E
infinix zero 8,B0963Q95GR,"product_title OUKITEL C21 Unlocked Cell Phone,Android 10 6.4 Inch Screen 4G Dual SIM Smartphone,20MP Front+16MP Four Rear Cameras,4GB+64GB 4000mAh Battery T-Mobile Metro PCS Straight Talk Mobile Phones,Blue",product_brand OUKITEL,product_color Blue,"product_title OUKITEL C21 Unlocked Cell Phone,Android 10 6.4 Inch Screen 4G Dual SIM Smartphone,20MP Front+16MP Four Rear Cameras,4GB+64GB 4000mAh Battery T-Mobile Metro PCS Straight Talk Mobile Phones,Blueproduct_brand OUKITELproduct_color Blue",S
lovelace,B016J2A9WQ,product_title All American Bikini Car Wash,product_brand None,product_color None,product_title All American Bikini Car Washproduct_brand Noneproduct_color None,I
lightning cable,B088H2T8BG,"product_title iPhone Charger, Mfi Certified Lightning Cables 5Pack 2x3Ft 2x6Ft 10Ft to USB Syncing Data and Nylon Braided Cord Charger for iPhone 11/11 Pro Max/XS MAX/XR/XS/X/8/7/Plus/6S/iPad(Pink)",product_brand Firsting,product_color pink#002,"product_title iPhone Charger, Mfi Certified Lightning Cables 5Pack 2x3Ft 2x6Ft 10Ft to USB Syncing Data and Nylon Braided Cord Charger for iPhone 11/11 Pro Max/XS MAX/XR/XS/X/8/7/Plus/6S/iPad(Pink)product_brand Firstingproduct_color pink#002",E
kid skeleton pajamas,B07VFM297L,"product_title Carter's Girls' 2-Piece Glow-in-The-Dark Halloween PJs (4T, Black/Skeleton)",product_brand Carter's,product_color Black/Skeleton,"product_title Carter's Girls' 2-Piece Glow-in-The-Dark Halloween PJs (4T, Black/Skeleton)product_brand Carter'sproduct_color Black/Skeleton",E
qijunge\,B07CMD5SG9,"product_title Marvel Boys' Quartz Watch with Plastic Strap, Blue, 20 (Model: SPD4464)",product_brand Marvel,product_color Blue,"product_title Marvel Boys' Quartz Watch with Plastic Strap, Blue, 20 (Model: SPD4464)product_brand Marvelproduct_color Blue",I
crocs wave,B01JH3S25K,"product_title Crocs Kids' Swiftwater Wave Slip-On Sandal, Neon Magenta, 2 M US Little Kid",product_brand Crocs,product_color Neon Magenta,"product_title Crocs Kids' Swiftwater Wave Slip-On Sandal, Neon Magenta, 2 M US Little Kidproduct_brand Crocsproduct_color Neon Magenta",E
women table confetti,B07D2M8XBP,product_title Luxury Rose Gold Diamond Table Confetti Party & Wedding Decorations: Sparkling Acrylic Crystal Scatter Gems Table Décor in Three Sizes,product_brand Pretty Display,product_color Rose Gold,product_title Luxury Rose Gold Diamond Table Confetti Party & Wedding Decorations: Sparkling Acrylic Crystal Scatter Gems Table Décor in Three Sizesproduct_brand Pretty Displayproduct_color Rose Gold,E
boys sleeping bags for sleepovers,B07M97WXZ9,"product_title DESERT & FOX Cotton Flannel Sleeping Bags with Pillow, 4 Season Warm & Cold Weather Envelope Compression Sack, Lightweight & Portable Backpacking Sleeping Bag for Outdoor Camping, Hiking, Traveling",product_brand DESERT & FOX,product_color Blue,"product_title DESERT & FOX Cotton Flannel Sleeping Bags with Pillow, 4 Season Warm & Cold Weather Envelope Compression Sack, Lightweight & Portable Backpacking Sleeping Bag for Outdoor Camping, Hiking, Travelingproduct_brand DESERT & FOXproduct_color Blue",E
purple beanie,B003PPYVA2,"product_title Neff Unisex Daily Beanie, Warm, Slouchy, Soft Headwear, Purple, One Size",product_brand NEFF,product_color Purple,"product_title Neff Unisex Daily Beanie, Warm, Slouchy, Soft Headwear, Purple, One Sizeproduct_brand NEFFproduct_color Purple",E
k cliffs heavy duty clear backpack,B07FGF2QF6,"product_title Heavy Duty Clear Backpack V6 Durable Transparent See Through Bag (Medium, Blue)",product_brand SMARTY,product_color Blue (Medium),"product_title Heavy Duty Clear Backpack V6 Durable Transparent See Through Bag (Medium, Blue)product_brand SMARTYproduct_color Blue (Medium)",S
rainbow braiding hair,B082FTPXXR,product_title Ombre Pre stretched Braiding Hair Rainbow Easy Braiding Hair Hot Water Setting Synthetic Fiber Crochet Hair Extension 24 Inch 3 Packs,product_brand JulyQueen,product_color E35-Rainbow#,product_title Ombre Pre stretched Braiding Hair Rainbow Easy Braiding Hair Hot Water Setting Synthetic Fiber Crochet Hair Extension 24 Inch 3 Packsproduct_brand JulyQueenproduct_color E35-Rainbow#,E
budweiser pajamas,B08B7SJ34B,product_title Mens Boardshort Budweiser-King-of-Beer-Anheuser-Busch-Beer- Loose Quick Dry Swim Trunks,product_brand Yhspaa,product_color None,product_title Mens Boardshort Budweiser-King-of-Beer-Anheuser-Busch-Beer- Loose Quick Dry Swim Trunksproduct_brand Yhspaaproduct_color None,I
clothing stamp 15 font,B07WBZBVBF,product_title Signature Stamp Customizable Custom Personalized Name Self Inking Rubber Wood Stamp Stamp Signature Stamp Personalized Self Inking Stamp Name Stamp Choose Your Font,product_brand Pickled Stamps,product_color Black Red Blue Green Purple Wood,product_title Signature Stamp Customizable Custom Personalized Name Self Inking Rubber Wood Stamp Stamp Signature Stamp Personalized Self Inking Stamp Name Stamp Choose Your Fontproduct_brand Pickled Stampsproduct_color Black Red Blue Green Purple Wood,S
flavored waer,B01N1NWCFW,"product_title Nestle Pure Life Splash Variety Pack Water, 16.9 Ounce (32 Bottles)",product_brand Nestle Nutritional,product_color None,"product_title Nestle Pure Life Splash Variety Pack Water, 16.9 Ounce (32 Bottles)product_brand Nestle Nutritionalproduct_color None",E
kitchen dish drying,B0753LG53N,"product_title mDesign Large Kitchen Countertop, Sink Dish Drying Rack with Removable Cutlery Tray and Drainboard with Adjustable Swivel Spout - 3 Pieces, Silver Wire/Black Plastic Cutlery Caddy and Drainboard",product_brand mDesign,product_color Silver/Black,"product_title mDesign Large Kitchen Countertop, Sink Dish Drying Rack with Removable Cutlery Tray and Drainboard with Adjustable Swivel Spout - 3 Pieces, Silver Wire/Black Plastic Cutlery Caddy and Drainboardproduct_brand mDesignproduct_color Silver/Black",E
seed bombs wildflower,B00H138SAI,"product_title Our Finest Seed Bomb Matrix (TM) - Makes Over 200 1/2"" Seed Balls",product_brand Seed-Balls.com,product_color Earthen Brown-Black,"product_title Our Finest Seed Bomb Matrix (TM) - Makes Over 200 1/2"" Seed Ballsproduct_brand Seed-Balls.comproduct_color Earthen Brown-Black",E
fog light motorcycle,B01F37BRSS,"product_title LYLLA One Mode High Beam CREE U5 LED Motorcycle Headlight, DRL Fog Driving Running Light Spotlight for ATV Truck w/ON/Off Toggle Switch (Pack of 2)",product_brand LYLLA,product_color 2 Pcs of 1-Mode U5 + Switch,"product_title LYLLA One Mode High Beam CREE U5 LED Motorcycle Headlight, DRL Fog Driving Running Light Spotlight for ATV Truck w/ON/Off Toggle Switch (Pack of 2)product_brand LYLLAproduct_color 2 Pcs of 1-Mode U5 + Switch",E
business card holder clear,B01MQ23Z6L,product_title Beauticom (Quantity: 6 Piece) Clear Acrylic Single Compartment Desktop Business Card Holder Display Stand,product_brand Beauticom,product_color None,product_title Beauticom (Quantity: 6 Piece) Clear Acrylic Single Compartment Desktop Business Card Holder Display Standproduct_brand Beauticomproduct_color None,E
six toys for women pleasure,B07FZBVKLQ,"product_title Oliver James Powerful Handheld Electric Wand Back Massager for Women - Strong Personal Magic Massage for Sports Recovery, Muscle Aches, & Body Pain - 20 Patterns & 8 Speeds - (Black)",product_brand Oliver James,product_color Black,"product_title Oliver James Powerful Handheld Electric Wand Back Massager for Women - Strong Personal Magic Massage for Sports Recovery, Muscle Aches, & Body Pain - 20 Patterns & 8 Speeds - (Black)product_brand Oliver Jamesproduct_color Black",E
orange bedspread,B07Y5PFQRR,product_title Rustic Western Native American Quilt Bedspread Coverlet Bedding Set in Modern Southwest Tribal Patterns in Soft Beige Brown Turquoise Blue Copper Burnt Orange & Rust Colors - Arizona (King/Cal-King),product_brand Rugs 4 Less,"product_color Orange,blue,beige","product_title Rustic Western Native American Quilt Bedspread Coverlet Bedding Set in Modern Southwest Tribal Patterns in Soft Beige Brown Turquoise Blue Copper Burnt Orange & Rust Colors - Arizona (King/Cal-King)product_brand Rugs 4 Lessproduct_color Orange,blue,beige",E
service dog badge,B01F3YY85K,product_title Emotional Support Dog Badge & Leather Wallet | Includes Registration to National Dog Registry,product_brand Xpress ID,product_color Black,product_title Emotional Support Dog Badge & Leather Wallet | Includes Registration to National Dog Registryproduct_brand Xpress IDproduct_color Black,E
pet nail grinder for dogs,B07S9ZQ9Z8,"product_title JACKGOLD Dog Nail Grinder, Upgraded LCD 2-Speed Electric Rechargeable Dog Nail Trimmer with 2 Grinding Wheels, Pet Nail Grinder Painless Paws Grooming for Small Medium Large Dogs & Cats",product_brand JACKGOLD,product_color white,"product_title JACKGOLD Dog Nail Grinder, Upgraded LCD 2-Speed Electric Rechargeable Dog Nail Trimmer with 2 Grinding Wheels, Pet Nail Grinder Painless Paws Grooming for Small Medium Large Dogs & Catsproduct_brand JACKGOLDproduct_color white",E
royaroma car diffuser,B07FLS7H6F,product_title 2PCS Aromatherapy Essential Oil Diffuser Car Diffuser Vent Clip 30mm Stainless Steel Car Diffuser Locket Air Freshener 32 Felt Pads(Tree of Life & Cloud),product_brand Aroma House,product_color None,product_title 2PCS Aromatherapy Essential Oil Diffuser Car Diffuser Vent Clip 30mm Stainless Steel Car Diffuser Locket Air Freshener 32 Felt Pads(Tree of Life & Cloud)product_brand Aroma Houseproduct_color None,S
film for polaroid camera,B07PMFZZZC,product_title Impossible/Polaroid Color Glossy Instant Film for Polaroid Originals I-Type OneStep2 Camera - 2-Pack,product_brand The Imaging World,product_color None,product_title Impossible/Polaroid Color Glossy Instant Film for Polaroid Originals I-Type OneStep2 Camera - 2-Packproduct_brand The Imaging Worldproduct_color None,E
metal blanket basket,B08QW6RC52,"product_title YNEXTRA Super Large Storage Basket-22""x14""Inches XXXL Blanket Basket Living Room-White and Grey Woven Baskets for Storage-Big Baby Laundry Basket, Safe Toy Basket Bin for Kids",product_brand Basketlab-US,product_color White and Grey,"product_title YNEXTRA Super Large Storage Basket-22""x14""Inches XXXL Blanket Basket Living Room-White and Grey Woven Baskets for Storage-Big Baby Laundry Basket, Safe Toy Basket Bin for Kidsproduct_brand Basketlab-USproduct_color White and Grey",S
rising strong by brene brown,B00U08ECQA,product_title Big Magic: Creative Living Beyond Fear,product_brand Audible,product_color None,product_title Big Magic: Creative Living Beyond Fearproduct_brand Audibleproduct_color None,I
makeup mirror with light,B07RKJFCX7,"product_title KOOLORBS 10X Magnifying Makeup Mirror with Lights, 3 Color Lighting, Intelligent Switch, 360 Degree Rotation, Powerful Suction Cup, Portable , Good for Tabletop, Bathroom, Traveling",product_brand KOOLORBS,product_color White,"product_title KOOLORBS 10X Magnifying Makeup Mirror with Lights, 3 Color Lighting, Intelligent Switch, 360 Degree Rotation, Powerful Suction Cup, Portable , Good for Tabletop, Bathroom, Travelingproduct_brand KOOLORBSproduct_color White",E
men’s deodorant,B01HTJTMF8,product_title Dove Men+Care Antiperspirant Deodorant With 48-hour sweat and odor protection Extra Fresh Antiperspirant for men formulated with vitamin E and Triple Action Moisturizer | 2.7 Ounce (Pack of 4),product_brand DOVE MEN + CARE,product_color Extra Fresh,product_title Dove Men+Care Antiperspirant Deodorant With 48-hour sweat and odor protection Extra Fresh Antiperspirant for men formulated with vitamin E and Triple Action Moisturizer | 2.7 Ounce (Pack of 4)product_brand DOVE MEN + CAREproduct_color Extra Fresh,E
3 prong pocket folders,B07K91GV6N,"product_title Amazon Basics Heavy Duty Plastic Folders with 2 Pockets for Letter Size Paper, Pack of 12",product_brand Amazon Basics,product_color Assorted Color,"product_title Amazon Basics Heavy Duty Plastic Folders with 2 Pockets for Letter Size Paper, Pack of 12product_brand Amazon Basicsproduct_color Assorted Color",E
batman,B01MT9THDX,"product_title Franco Kids Bedding Cuddle Pillow Buddy, One Size, Lego Batman",product_brand Franco,product_color Lego Batman,"product_title Franco Kids Bedding Cuddle Pillow Buddy, One Size, Lego Batmanproduct_brand Francoproduct_color Lego Batman",E
gucci luggage,B01CUTX1UY,product_title Medium Size Hanging Toiletry Bag with Detachable TSA Compliant Zipper Pocket & Swivel Hook (Graphite),product_brand NeatPack,product_color Graphite,product_title Medium Size Hanging Toiletry Bag with Detachable TSA Compliant Zipper Pocket & Swivel Hook (Graphite)product_brand NeatPackproduct_color Graphite,E
remote camera flash,B00CMF9HFA,"product_title (2 Trigger Pack) Altura Photo Wireless Flash Trigger for Canon w/Remote Shutter (Canon EOS 80D, 77D, 70D, 60D, Rebel T7i, T6i, T6, T5i, T5, T4i, T3i, T3, SL1, SL2 DSLR Cameras)",product_brand Altura Photo,product_color None,"product_title (2 Trigger Pack) Altura Photo Wireless Flash Trigger for Canon w/Remote Shutter (Canon EOS 80D, 77D, 70D, 60D, Rebel T7i, T6i, T6, T5i, T5, T4i, T3i, T3, SL1, SL2 DSLR Cameras)product_brand Altura Photoproduct_color None",E
puerto rico boxing shirt,B01FIS4ZVS,"product_title Boricua | Cute PR Puerto Rican Pride, Nuyorican Flag Ladies' Rico V-Neck T-Shirt-(Vneck,XL) Royal Blue",product_brand Ann Arbor T-shirt Co.,product_color Royal Blue,"product_title Boricua | Cute PR Puerto Rican Pride, Nuyorican Flag Ladies' Rico V-Neck T-Shirt-(Vneck,XL) Royal Blueproduct_brand Ann Arbor T-shirt Co.product_color Royal Blue",S
table mumbers,B00FDW5O0Q,"product_title New Star Foodservice 27617 Stainless Steel Tent Style Table Number Card, 1-25, 1.5"" x 2"" Inch",product_brand New Star Foodservice,product_color White,"product_title New Star Foodservice 27617 Stainless Steel Tent Style Table Number Card, 1-25, 1.5"" x 2"" Inchproduct_brand New Star Foodserviceproduct_color White",E
deep wrinkle filler serum,B0090UJFYI,"product_title Hyaluronic Acid Serum for Skin-- 100% Pure-Highest Quality, Anti-Aging Serum-- Intense Hydration + Moisture, Non-greasy, Paraben-free-Best Hyaluronic Acid for Your Face (Pro Formula) 2 oz",product_brand Cosmedica Skincare,product_color Clear,"product_title Hyaluronic Acid Serum for Skin-- 100% Pure-Highest Quality, Anti-Aging Serum-- Intense Hydration + Moisture, Non-greasy, Paraben-free-Best Hyaluronic Acid for Your Face (Pro Formula) 2 ozproduct_brand Cosmedica Skincareproduct_color Clear",S
tractor toys,B001QX5AAA,product_title TOMY John Deere Durable Vehicle Toy Set for Kids with Tractor Shaped Portable Carry Case,product_brand John Deere,product_color Multicolor,product_title TOMY John Deere Durable Vehicle Toy Set for Kids with Tractor Shaped Portable Carry Caseproduct_brand John Deereproduct_color Multicolor,E
gymux,B08423GT49,"product_title GYMAX 2 in 1 Under Desk Treadmill, 2.25HP Folding Walking Jogging Machine with Dual Display, Bluetooth Speaker & Remote Controller, Electric Motorized Treadmill for Home/Gym (Red)",product_brand GYMAX,product_color Red,"product_title GYMAX 2 in 1 Under Desk Treadmill, 2.25HP Folding Walking Jogging Machine with Dual Display, Bluetooth Speaker & Remote Controller, Electric Motorized Treadmill for Home/Gym (Red)product_brand GYMAXproduct_color Red",E
illustrated childrens bible,031075013X,product_title The Beginner's Bible: Timeless Children's Stories,product_brand Zonderkidz,product_color None,product_title The Beginner's Bible: Timeless Children's Storiesproduct_brand Zonderkidzproduct_color None,E
boxing headgear for men,B07KX22KRG,"product_title Boxing MMA Sparring Kickboxing Headgear for Men, Elite Sports Muay Thai Boxing Head Guard Helmet for Head Protection(Golden)",product_brand Elite Sports,product_color Golden,"product_title Boxing MMA Sparring Kickboxing Headgear for Men, Elite Sports Muay Thai Boxing Head Guard Helmet for Head Protection(Golden)product_brand Elite Sportsproduct_color Golden",E
ariat rebar wedge,B076RS25RV,"product_title Ariat Work Men's Pull-On Rebar Wedge Composite Toe Construction Boot, Golden Grizzly, 10.5D",product_brand ARIAT,product_color Golden Grizzly,"product_title Ariat Work Men's Pull-On Rebar Wedge Composite Toe Construction Boot, Golden Grizzly, 10.5Dproduct_brand ARIATproduct_color Golden Grizzly",E
heat lamps barn,B003XV8QOU,"product_title Woods 166SW Clamp Lamp with 10 Inch Reflector and Bulb Guard 300-Watt Bulb, Insulated Porcelain Socket, Versatile Lamp Clamp, Compatible with Higher Watt Bulbs, Portable Light Source, 6 Foot Cord",product_brand Woods,product_color Silver,"product_title Woods 166SW Clamp Lamp with 10 Inch Reflector and Bulb Guard 300-Watt Bulb, Insulated Porcelain Socket, Versatile Lamp Clamp, Compatible with Higher Watt Bulbs, Portable Light Source, 6 Foot Cordproduct_brand Woodsproduct_color Silver",C
hardbody supplements,B078SJ9F5S,"product_title Genius Mushroom – Lions Mane, Cordyceps and Reishi – Immune System Booster & Nootropic Brain Supplement – Wellness Formula for Natural Energy, Stress Relief, Memory & Liver Support, 90 Veggie Pills",product_brand The Genius Brand,product_color Cream,"product_title Genius Mushroom – Lions Mane, Cordyceps and Reishi – Immune System Booster & Nootropic Brain Supplement – Wellness Formula for Natural Energy, Stress Relief, Memory & Liver Support, 90 Veggie Pillsproduct_brand The Genius Brandproduct_color Cream",S
fabric shower curtains for bathroom,B07MH51QQ9,"product_title Barossa Design Waterproof Fabric Shower Curtain or Liner Soft Cloth & Machine Washable, Hotel Quality White Shower Curtain Liner for Bath Tub, 72x72 Inches",product_brand Barossa Design,product_color Pure White,"product_title Barossa Design Waterproof Fabric Shower Curtain or Liner Soft Cloth & Machine Washable, Hotel Quality White Shower Curtain Liner for Bath Tub, 72x72 Inchesproduct_brand Barossa Designproduct_color Pure White",E
air force 1 shoes girls,B001TXF3ZO,"product_title Nike Women's Air Force 1 '07, 112-white / White, 9",product_brand Nike,product_color 112-white/White,"product_title Nike Women's Air Force 1 '07, 112-white / White, 9product_brand Nikeproduct_color 112-white/White",I
kids farm boots for girls,B01NBNJDUB,"product_title Western Chief Kid's Cold Rated Neoprene Memory Foam Snow Boot, Chloe Dot, 3 M US Little Kid",product_brand Western Chief,product_color Chloe Black Dot,"product_title Western Chief Kid's Cold Rated Neoprene Memory Foam Snow Boot, Chloe Dot, 3 M US Little Kidproduct_brand Western Chiefproduct_color Chloe Black Dot",E
monitor for raspberry pi 400,B08FHF7H3L,"product_title Raspberry Pi 4 Screen 10.1'' IPS Monitor- SunFounder 10.1'' Raspberry Pi LCD IPS Display Portable Monitor High Resolution 1280×800, All-in-One Scheme Design for Raspberry Pi 400 4 Model B.",product_brand SunFounder,product_color 10.1 Inch PiScreen,"product_title Raspberry Pi 4 Screen 10.1'' IPS Monitor- SunFounder 10.1'' Raspberry Pi LCD IPS Display Portable Monitor High Resolution 1280×800, All-in-One Scheme Design for Raspberry Pi 400 4 Model B.product_brand SunFounderproduct_color 10.1 Inch PiScreen",E
sand bell rack,B086VCVQL8,"product_title Calmson Portable Sandbag Kettlebell, Sand Bag Weightlifting Dumbbell Sand Kettle Bell for Gym Bag, Weightlifting Bodybuilding, Lose Weight",product_brand Calmson,product_color None,"product_title Calmson Portable Sandbag Kettlebell, Sand Bag Weightlifting Dumbbell Sand Kettle Bell for Gym Bag, Weightlifting Bodybuilding, Lose Weightproduct_brand Calmsonproduct_color None",E
kate spade purse,B07HZZ9V7R,"product_title Kate Spade New York Weller Street Declan Leather Crossbody Bag Purse in Black, Small",product_brand Kate Spade New York,product_color Black,"product_title Kate Spade New York Weller Street Declan Leather Crossbody Bag Purse in Black, Smallproduct_brand Kate Spade New Yorkproduct_color Black",E
acdelco,B00O6WPVXY,product_title GM Genuine Parts TP3018 Fuel Filter Kit,product_brand GM,product_color None,product_title GM Genuine Parts TP3018 Fuel Filter Kitproduct_brand GMproduct_color None,E
power rangers wii games,B01NBMZTKJ,product_title Power Rangers: Mega Battle - Xbox One Digital Code,product_brand Bandai Namco,product_color None,product_title Power Rangers: Mega Battle - Xbox One Digital Codeproduct_brand Bandai Namcoproduct_color None,S
levis high waisted shorts,B07DN4JGZN,"product_title Levi's Women's 501 Button-Fly Shorts, Acid Light Lilac, 30",product_brand Levi's,product_color Acid Light Lilac,"product_title Levi's Women's 501 Button-Fly Shorts, Acid Light Lilac, 30product_brand Levi'sproduct_color Acid Light Lilac",E
washcloths,B0794SLW55,"product_title Simpli-Magic 79078 Linens, 12""x12"", Washcloths, White,24",product_brand SIMPLI-MAGIC,product_color White,"product_title Simpli-Magic 79078 Linens, 12""x12"", Washcloths, White,24product_brand SIMPLI-MAGICproduct_color White",E
albers,B07QPBSQQN,product_title A Little SPOT of Kindness! (Inspire to Create A Better You!),product_brand None,product_color None,product_title A Little SPOT of Kindness! (Inspire to Create A Better You!)product_brand Noneproduct_color None,E
one piece swimsuits for women sexy black,B07BMRWTSV,product_title SweatyRocks Women's Sexy Bathing Suits Solid Color Push Up Criss Cross Open Back One Piece Swimwear Black L,product_brand SweatyRocks,product_color 1#black,product_title SweatyRocks Women's Sexy Bathing Suits Solid Color Push Up Criss Cross Open Back One Piece Swimwear Black Lproduct_brand SweatyRocksproduct_color 1#black,E
popcorn bowls ceramic,B0041693XY,product_title Popcorn Bowl - Big Red Bowl with Popcorn Print Interior - Perfect Popcorn Bucket,product_brand Convenient Gadgets & Gifts,product_color Red,product_title Popcorn Bowl - Big Red Bowl with Popcorn Print Interior - Perfect Popcorn Bucketproduct_brand Convenient Gadgets & Giftsproduct_color Red,S
2 way speaker 5x7,B0007L8BT4,"product_title Car Two Way Speaker System - Pro 3.5 Inch 120 Watt 4 Ohm Mid Tweeter Component Audio Sound Speakers For Car Stereo w/ 20 Oz Magnet Structure, 1.65” Mount Depth Fits Standard OEM - Pyle PLG3.2",product_brand Pyle,product_color None,"product_title Car Two Way Speaker System - Pro 3.5 Inch 120 Watt 4 Ohm Mid Tweeter Component Audio Sound Speakers For Car Stereo w/ 20 Oz Magnet Structure, 1.65” Mount Depth Fits Standard OEM - Pyle PLG3.2product_brand Pyleproduct_color None",S
thelma and louise book,B07ZHNB14X,"product_title One Hundred Dogs and Counting: One Woman, Ten Thousand Miles, and A Journey into the Heart of Shelters and Rescues",product_brand None,product_color None,"product_title One Hundred Dogs and Counting: One Woman, Ten Thousand Miles, and A Journey into the Heart of Shelters and Rescuesproduct_brand Noneproduct_color None",S
toddler boys toys,B01EYUMENC,"product_title John Deere Sand Toys Dump Truck and Toy Tractor with Loader for Kids Aged 18 Months and Up, 6 Inch, Green (Pack of 2)",product_brand TOMY,product_color Green,"product_title John Deere Sand Toys Dump Truck and Toy Tractor with Loader for Kids Aged 18 Months and Up, 6 Inch, Green (Pack of 2)product_brand TOMYproduct_color Green",E
mat for under grill on deck,B003GUND7I,"product_title Diversitech Original Grill Mat - BBQ Floor Mat - Put Under Gas Grill, Fryer, Fire Pit - Protects Decks and Patios - 30 x 42 Inches - Rectangle - Brown",product_brand Diversitech Original Grill Mat,product_color Brown,"product_title Diversitech Original Grill Mat - BBQ Floor Mat - Put Under Gas Grill, Fryer, Fire Pit - Protects Decks and Patios - 30 x 42 Inches - Rectangle - Brownproduct_brand Diversitech Original Grill Matproduct_color Brown",E
girl lego,B07GX6GBGG,product_title LEGO Friends 4+ Mia's Foal Stable 41361 Building Kit (118 Pieces),product_brand LEGO,product_color Multicolor,product_title LEGO Friends 4+ Mia's Foal Stable 41361 Building Kit (118 Pieces)product_brand LEGOproduct_color Multicolor,E
spigen iphone xs case,B074CNF6YW,product_title Spigen Rugged Armor Designed for iPhone Xs Case (2018) / Designed for iPhone X Case (2017) - Matte Black,product_brand Spigen,product_color Matte Black,product_title Spigen Rugged Armor Designed for iPhone Xs Case (2018) / Designed for iPhone X Case (2017) - Matte Blackproduct_brand Spigenproduct_color Matte Black,E
